package	num	trackers
ru.sberbankmobile	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
ru.vtb24.mobilebanking.android	4	Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core,OpenTelemetry (OpenCensus, OpenTracing)
ru.nspk.sbpay	0	
ru.nspk.mirpay	0	
ru.alfabank.mobile.android	10	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Snowplow,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Huawei Mobile Services (HMS) Core
ru.vtb.invest	2	Google Firebase Analytics,AppMetrica
ru.rutube.app	9	Flurry,Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,Branch,Google AdMob,Huawei Mobile Services (HMS) Core,Facebook Flipper
ru.aliexpress.buyer	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,myTracker,Huawei Mobile Services (HMS) Core,VKontakte SDK
com.vkontakte.android	10	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,myTracker,myTarget,IAB Open Measurement,VKontakte SDK
ru.goods.marketplace	7	Google CrashLytics,Google Firebase Analytics,Adjust,Google Tag Manager,AppMetrica,Huawei Mobile Services (HMS) Core,Exponea
ru.rostel	4	Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
com.yandex.browser	5	Facebook Login,Facebook Share,Yandex Ad,AppMetrica,Huawei Mobile Services (HMS) Core
com.vgtrk.smotrim	7	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Yandex Ad,AppMetrica,Google AdMob
ru.nspk.mir.loyalty	4	Google CrashLytics,Google Firebase Analytics,Google Tag Manager,AppMetrica
com.wildberries.ru	3	Google CrashLytics,Google Analytics,Google Firebase Analytics
ru.yandex.yandexnavi	4	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica
ru.domclick.mortgage	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
ru.sberbank.spasibo	6	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,AppMetrica,myTracker
com.ncloudtech.cloudoffice	3	Google CrashLytics,Countly,OpenTelemetry (OpenCensus, OpenTracing)
ru.ozon.app.android	10	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Login,Facebook Share,Google Tag Manager,Google AdMob,Exponea,Cifrasoft
ru.dublgis.dgismobile	11	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Amplitude,AppMetrica,AltBeacon,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.yandex.searchplugin	5	Facebook Login,Facebook Share,Yandex Ad,AppMetrica,Huawei Mobile Services (HMS) Core
yo.app.free	7	Google CrashLytics,Google Firebase Analytics,myTracker,myTarget,Google AdMob,IAB Open Measurement,OpenTelemetry (OpenCensus, OpenTracing)
ru.yandex.yandexmaps	4	Google CrashLytics,Schibsted,AppMetrica,Huawei Mobile Services (HMS) Core
com.my.warface.go.online	36	AppsFlyer,Flurry,Google CrashLytics,Ogury Presage,Twitter MoPub,Google Firebase Analytics,ChartBoost,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Smaato,AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,AppMetrica,ironSource,Vungle,myTracker,PubNative,HyprMX,myTarget,Tapjoy,Mintegral,Google AdMob,Verizon Ads,maio by i-mobile,IAB Open Measurement,Mail.ru,Pangle,VKontakte SDK,Snap Ad Kit
logo.com.mbanking	6	Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Huawei Mobile Services (HMS) Core,Facebook Flipper
ru.mts.mymts	6	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica
ru.yoo.money	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
com.my.lts.ru	34	AppsFlyer,Flurry,Google CrashLytics,Ogury Presage,Twitter MoPub,Google Firebase Analytics,ChartBoost,Moat,Facebook Ads,AppLovin (MAX and SparkLabs),Smaato,AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,AppMetrica,ironSource,Vungle,myTracker,PubNative,HyprMX,myTarget,Tapjoy,Mintegral,Google AdMob,Verizon Ads,maio by i-mobile,IAB Open Measurement,Mail.ru,Pangle,VKontakte SDK,Snap Ad Kit
