package	num	trackers
ru.sberbankmobile	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
ru.vtb24.mobilebanking.android	4	Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core,OpenTelemetry (OpenCensus, OpenTracing)
ru.nspk.sbpay	0	
ru.nspk.mirpay	0	
ru.alfabank.mobile.android	10	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Snowplow,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Huawei Mobile Services (HMS) Core
ru.vtb.invest	2	Google Firebase Analytics,AppMetrica
ru.nspk.mir.loyalty	4	Google CrashLytics,Google Firebase Analytics,Google Tag Manager,AppMetrica
ru.sberbank.spasibo	6	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,AppMetrica,myTracker
logo.com.mbanking	6	Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Huawei Mobile Services (HMS) Core,Facebook Flipper
ru.yoo.money	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
com.openbank	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
com.idamob.tinkoff.android	7	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Amplitude,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Huawei Mobile Services (HMS) Core
ru.alfadirect.app	10	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Snowplow,AppMetrica,myTracker,Huawei Mobile Services (HMS) Core
ru.sovcomcard.halva.v1	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Google AdMob,Huawei Mobile Services (HMS) Core
ru.sberbank.investor	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Dynatrace,AppMetrica,Huawei Mobile Services (HMS) Core
ru.vtb.smb	2	AppMetrica,Huawei Mobile Services (HMS) Core
ru.letobank.Prometheus	2	Google CrashLytics,Google Firebase Analytics
ru.sberbank_sbbol	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.cardsmobile.mw3	3	AppsFlyer,Google CrashLytics,Google Firebase Analytics
ru.gazprombank.android.mobilebank.app	5	AppsFlyer,Google Firebase Analytics,AppMetrica,Microsoft Visual Studio App Center Crashes,Huawei Mobile Services (HMS) Core
ru.sberbank.sberkids	2	Google CrashLytics,Google Firebase Analytics
ru.mts.money	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
com.cetelem.cetelem_android	2	Google CrashLytics,AppMetrica
ru.openbroker.app	5	Google CrashLytics,Google Firebase Analytics,Amplitude,AppMetrica,myTracker
ru.psbank.msb.dev.psb_appstore	2	Google CrashLytics,Google Firebase Analytics
com.easypay_fssp	10	Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Tag Manager,Branch,OpenTelemetry (OpenCensus, OpenTracing)
ru.drom.fines	4	Google CrashLytics,Google Analytics,Google Firebase Analytics,Huawei Mobile Services (HMS) Core
ru.sberins.insureapp.android	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
com.openbank.msb	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
ru.tinkoff.investing	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Amplitude,Google AdMob,Huawei Mobile Services (HMS) Core
ru.alfabank.oavdo.amc	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Snowplow,Huawei Mobile Services (HMS) Core
com.simplepayments.gkh	10	Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Tag Manager,Branch,OpenTelemetry (OpenCensus, OpenTracing)
ru.zhuck.webapp	4	Google CrashLytics,Google Firebase Analytics,Google AdMob,Huawei Mobile Services (HMS) Core
ru.sber.investor	1	Google Firebase Analytics
com.sberbank.sberpravo	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
com.smp.android	4	Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
ru.abrr.gas	2	Google Firebase Analytics,Bugsnag
com.simplepayments_fns	10	Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Tag Manager,Branch,OpenTelemetry (OpenCensus, OpenTracing)
ru.sberbank.sberbankir2020	2	Google CrashLytics,Google Firebase Analytics
