id	num	is_danger	apps
android.permission.SYSTEM_ALERT_WINDOW	14	False	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.alfabank.mobile.android,ru.vtb.invest,ru.sovcomcard.halva.v1,ru.letobank.Prometheus,ru.psbank.invest,com.bssys.roscapretail,com.serviceit.tgc1lk,ru.sberleasing,rshb.broker.mapp,ru.genisoft.android.kozirnaya.karta,ru.zencar.mobile.app,ru.elt.ubsmobile
android.permission.ACCESS_COARSE_LOCATION	67	True	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.alfabank.mobile.android,ru.vtb.invest,ru.nspk.mir.loyalty,ru.sberbank.spasibo,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.sovcomcard.halva.v1,ru.sberbank.investor,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.cardsmobile.mw3,ru.gazprombank.android.mobilebank.app,ru.sberbank.sberkids,ru.mts.money,com.cetelem.cetelem_android,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,ru.zhuck.webapp,ru.sber.investor,com.smp.android,ru.abrr.gas,cb.ibank,com.bifit.rncbbeta,ru.platius.mobile,ru.tinkoff.sme,ru.rshb.dbo,ru.mkb.mobile,ru.tinkoff.mb.kids,ru.rtlabs.mobile.ebs.android,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.stmlabs.procheck.app,ru.sovcombank.investor,com.bssys.roscapretail,com.serviceit.tgc1lk,ru.finapp.appzaymbot,com.bifit.dvbank,com.bpc.crossplatform_trading.bpc_trading,ru.sberleasing,ru.m4bank.softpos.open,ru.psbank.msb.softpos,com.tap2go.softpos,ru.netfinbank.application,ru.sberbank.onlineencashment,ru.webview.krediska,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.vsk.insurance,ru.carmoney.client,com.breackneck.mysecondprojectmoneybox,ru.genisoft.android.kozirnaya.karta,ru.rshb.ips_qr,ru.zencar.mobile.app,ru.elt.ubsmobile,ru.sngb.dbo.client.android,ru.ubrr.corporate,com.invoiceboxapp,com.bifit.mobile.citizen.chbrr
android.permission.WAKE_LOCK	124	False	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.nspk.sbpay,ru.nspk.mirpay,ru.alfabank.mobile.android,ru.vtb.invest,ru.sberbank.spasibo,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.alfadirect.app,ru.sovcomcard.halva.v1,ru.sberbank.investor,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.cardsmobile.mw3,ru.gazprombank.android.mobilebank.app,ru.sberbank.sberkids,ru.mts.money,com.cetelem.cetelem_android,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,com.easypay_fssp,ru.drom.fines,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,com.simplepayments.gkh,ru.zhuck.webapp,ru.sber.investor,com.sberbank.sberpravo,com.smp.android,ru.abrr.gas,com.simplepayments_fns,ru.sberbank.sberbankir2020,cb.ibank,com.bifit.rncbbeta,com.tochka.bank,ru.platius.mobile,ru.tinkoff.sme,com.fssp.app,ru.shtrafy_gibdd.nalogi,ru.tinkoff.invest.course,ru.psbank.invest,ru.rshb.dbo,ru.cbalkp.rel2,org.ray.fines,ru.mkb.mobile,digital.fact.saver,ru.tinkoff.mb.kids,ru.vtb.npf,ru.finam.android,com.simplepayments_gibdd,ru.alfacapital.lk,ru.rtlabs.mobile.ebs.android,com.simplepayments.gosoplata,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.deposit.cards,ru.stmlabs.procheck.app,com.zaimnakarty.kreditblesk,ru.calculators.buyer,com.otkritie.daily,com.moex.finuslugi,ru.sovcombank.investor,com.e1c.MobileAccounting,ru.kredit.calculator,com.bssys.roscapretail,com.serviceit.tgc1lk,ru.tinkoff.accounting,ru.creditcards.onlain,ru.finapp.appzaymbot,com.bifit.dvbank,com.bpc.crossplatform_trading.bpc_trading,com.cofounder_app,ru.sberleasing,org.policefines.finesNotCommercial,org.bitcoinox.bitcoinoxwallet,ru.banki.banki,ru.m4bank.softpos.open,com.openbusiness.Business_calculations_rus,ru.psbank.msb.softpos,ru.yoo.kassa,com.tap2go.softpos,ru.rt.mobileoffice,ru.business.online,rshb.broker.mapp,ru.autoassistent.checker,ru.yoo.sdk.kassa.payments.example.release,ru.bank_hlynov.xbank,com.kickex.android,ru.ogon.app,ru.netfinbank.application,ru.sberbank.onlineencashment,ru.plusvklad.app,ru.microloans.online,com.uspeivziatdeneg.vdolg,com.bifit.mobile.corporate.dvbank,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.vsk.insurance,ru.rosagroleasing.mobile,ru.carmoney.client,com.breackneck.mysecondprojectmoneybox,ru.genisoft.android.kozirnaya.karta,ru.rshb.ips_qr,ru.zencar.mobile.app,ru.elt.ubsmobile,com.ntk_plus.portalzhkh,ru.rshb.svoe_rodnoe,ru.sngb.dbo.client.android,com.bifit.mobile.ubrr,ru.ubrr.corporate,com.oilmarket,com.invoiceboxapp,com.bifit.mobile.citizen.chbrr,ru.rkeeper.reports,ru.ucs.rk_lite_pos,ru.ucs.rkmobwaiter5,ru.gazprombank.invest,ru.rosneft.tektorg
android.permission.READ_PHONE_STATE	57	True	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.alfabank.mobile.android,ru.vtb.invest,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.alfadirect.app,ru.sovcomcard.halva.v1,ru.sberbank.investor,ru.letobank.Prometheus,ru.cardsmobile.mw3,ru.gazprombank.android.mobilebank.app,ru.mts.money,com.cetelem.cetelem_android,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,com.easypay_fssp,com.openbank.msb,ru.alfabank.oavdo.amc,com.simplepayments.gkh,ru.zhuck.webapp,ru.sber.investor,com.sberbank.sberpravo,com.simplepayments_fns,ru.sberbank.sberbankir2020,cb.ibank,com.bifit.rncbbeta,ru.tinkoff.sme,ru.psbank.invest,ru.rshb.dbo,ru.mkb.mobile,ru.tinkoff.mb.kids,com.simplepayments_gibdd,ru.alfacapital.lk,ru.rtlabs.mobile.ebs.android,com.simplepayments.gosoplata,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.sovcombank.investor,com.bssys.roscapretail,com.bpc.crossplatform_trading.bpc_trading,ru.m4bank.softpos.open,ru.yoo.kassa,rshb.broker.mapp,ru.autoassistent.checker,ru.yoo.sdk.kassa.payments.example.release,ru.sberbank.onlineencashment,com.bifit.mobile.corporate.dvbank,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.genisoft.android.kozirnaya.karta,ru.sngb.dbo.client.android,com.bifit.mobile.ubrr,ru.ucs.rk_lite_pos,ru.gazprombank.invest
android.permission.ACCESS_WIFI_STATE	82	False	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.nspk.sbpay,ru.nspk.mirpay,ru.alfabank.mobile.android,ru.vtb.invest,ru.nspk.mir.loyalty,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.alfadirect.app,ru.sovcomcard.halva.v1,ru.sberbank.investor,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.gazprombank.android.mobilebank.app,ru.sberbank.sberkids,ru.mts.money,com.cetelem.cetelem_android,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,ru.sber.investor,com.smp.android,ru.abrr.gas,ru.sberbank.sberbankir2020,cb.ibank,com.bifit.rncbbeta,ru.platius.mobile,ru.tinkoff.sme,ru.shtrafy_gibdd.nalogi,ru.tinkoff.invest.course,ru.psbank.invest,ru.rshb.dbo,org.ray.fines,ru.mkb.mobile,digital.fact.saver,ru.tinkoff.mb.kids,ru.alfacapital.lk,ru.rtlabs.mobile.ebs.android,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.deposit.cards,com.zaimnakarty.kreditblesk,ru.calculators.buyer,com.otkritie.daily,ru.sovcombank.investor,com.app.everypay,ru.kredit.calculator,com.bssys.roscapretail,ru.tinkoff.accounting,com.bifit.dvbank,ru.gazprombank.broker,org.policefines.finesNotCommercial,ru.banki.banki,ru.m4bank.softpos.open,ru.yoo.kassa,rshb.broker.mapp,ru.ogon.app,ru.sberbank.onlineencashment,ru.microloans.online,online.proga.hospitalcalc,com.bifit.mobile.corporate.dvbank,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.vsk.insurance,ru.rosagroleasing.mobile,com.breackneck.mysecondprojectmoneybox,ru.rshb.ips_qr,ru.elt.ubsmobile,com.bifit.mobile.ubrr,com.invoiceboxapp,com.bifit.mobile.citizen.chbrr,ru.kslabs.agorta_kassa,com.breckneck.debtbook,ru.ucs.rk_lite_pos,ru.gazprombank.invest
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	117	False	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.nspk.sbpay,ru.nspk.mirpay,ru.alfabank.mobile.android,ru.vtb.invest,ru.nspk.mir.loyalty,ru.sberbank.spasibo,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.alfadirect.app,ru.sovcomcard.halva.v1,ru.sberbank.investor,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.cardsmobile.mw3,ru.gazprombank.android.mobilebank.app,ru.sberbank.sberkids,ru.mts.money,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,com.easypay_fssp,ru.drom.fines,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,com.simplepayments.gkh,ru.zhuck.webapp,ru.sber.investor,com.sberbank.sberpravo,com.smp.android,ru.abrr.gas,com.simplepayments_fns,ru.sberbank.sberbankir2020,cb.ibank,com.bifit.rncbbeta,com.tochka.bank,ru.platius.mobile,ru.tinkoff.sme,com.fssp.app,ru.shtrafy_gibdd.nalogi,ru.tinkoff.invest.course,ru.psbank.invest,ru.cbalkp.rel2,org.ray.fines,ru.mkb.mobile,digital.fact.saver,ru.tinkoff.mb.kids,ru.finam.android,com.simplepayments_gibdd,ru.alfacapital.lk,ru.rtlabs.mobile.ebs.android,com.simplepayments.gosoplata,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.deposit.cards,ru.stmlabs.procheck.app,com.zaimnakarty.kreditblesk,ru.calculators.buyer,com.otkritie.daily,com.moex.finuslugi,ru.sovcombank.investor,com.e1c.MobileAccounting,com.serviceit.tgc1lk,ru.tinkoff.accounting,ru.finapp.appzaymbot,com.bifit.dvbank,ru.gazprombank.broker,ru.sberleasing,org.policefines.finesNotCommercial,org.bitcoinox.bitcoinoxwallet,ru.banki.banki,ru.psbank.msb.softpos,ru.yoo.kassa,com.tap2go.softpos,ru.zayman,ru.rt.mobileoffice,ru.business.online,rshb.broker.mapp,ru.autoassistent.checker,ru.yoo.sdk.kassa.payments.example.release,com.kickex.android,ru.ogon.app,ru.netfinbank.application,ru.sberbank.onlineencashment,ru.plusvklad.app,ru.microloans.online,online.proga.hospitalcalc,com.uspeivziatdeneg.vdolg,com.bifit.mobile.corporate.dvbank,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.vsk.insurance,ru.rosagroleasing.mobile,ru.carmoney.client,com.breackneck.mysecondprojectmoneybox,ru.rshb.urozhai,ru.genisoft.android.kozirnaya.karta,ru.rshb.ips_qr,ru.zencar.mobile.app,ru.elt.ubsmobile,ru.rshb.svoe_rodnoe,com.bifit.mobile.ubrr,ru.ubrr.corporate,com.oilmarket,com.invoiceboxapp,com.bifit.mobile.citizen.chbrr,com.breckneck.debtbook,ru.rkeeper.reports,ru.ucs.rk_lite_pos,ru.ucs.rkmobwaiter5,ru.gazprombank.invest,ru.rosneft.tektorg
android.permission.READ_CONTACTS	42	True	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.alfabank.mobile.android,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.sovcomcard.halva.v1,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.gazprombank.android.mobilebank.app,ru.mts.money,com.cetelem.cetelem_android,ru.psbank.msb.dev.psb_appstore,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,ru.zhuck.webapp,com.smp.android,cb.ibank,com.bifit.rncbbeta,com.tochka.bank,ru.tinkoff.sme,ru.rshb.dbo,ru.mkb.mobile,ru.tinkoff.mb.kids,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.stmlabs.procheck.app,ru.sovcombank.investor,com.bssys.roscapretail,com.bifit.dvbank,com.bpc.crossplatform_trading.bpc_trading,ru.yoo.kassa,ru.bank_hlynov.xbank,ru.vsk.insurance,ru.elt.ubsmobile,ru.sngb.dbo.client.android,ru.ubrr.corporate,com.bifit.mobile.citizen.chbrr
android.permission.ACCESS_NETWORK_STATE	133	False	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.nspk.sbpay,ru.nspk.mirpay,ru.alfabank.mobile.android,ru.vtb.invest,ru.nspk.mir.loyalty,ru.sberbank.spasibo,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.alfadirect.app,ru.sovcomcard.halva.v1,ru.sberbank.investor,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.cardsmobile.mw3,ru.gazprombank.android.mobilebank.app,ru.sberbank.sberkids,ru.mts.money,com.cetelem.cetelem_android,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,com.easypay_fssp,ru.drom.fines,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,com.simplepayments.gkh,ru.zhuck.webapp,ru.sber.investor,com.sberbank.sberpravo,com.smp.android,ru.abrr.gas,com.simplepayments_fns,ru.sberbank.sberbankir2020,cb.ibank,com.bifit.rncbbeta,com.tochka.bank,ru.platius.mobile,ru.tinkoff.sme,com.fssp.app,ru.shtrafy_gibdd.nalogi,ru.tinkoff.invest.course,ru.psbank.invest,ru.rshb.dbo,ru.cbalkp.rel2,org.ray.fines,ru.mkb.mobile,digital.fact.saver,ru.tinkoff.mb.kids,ru.vtb.npf,ru.finam.android,com.simplepayments_gibdd,ru.alfacapital.lk,ru.rtlabs.mobile.ebs.android,com.simplepayments.gosoplata,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.deposit.cards,ru.stmlabs.procheck.app,com.zaimnakarty.kreditblesk,ru.calculators.buyer,com.otkritie.daily,com.moex.finuslugi,ru.sovcombank.investor,com.app.everypay,com.e1c.MobileAccounting,ru.kredit.calculator,com.bssys.roscapretail,com.serviceit.tgc1lk,ru.tinkoff.accounting,ru.creditcards.onlain,ru.finapp.appzaymbot,com.bifit.dvbank,com.bpc.crossplatform_trading.bpc_trading,com.cofounder_app,ru.gazprombank.broker,ru.sberleasing,org.policefines.finesNotCommercial,org.bitcoinox.bitcoinoxwallet,ru.banki.banki,ru.m4bank.softpos.open,com.openbusiness.Business_calculations_rus,ru.psbank.msb.softpos,ru.yoo.kassa,com.tap2go.softpos,ru.zayman,ru.rt.mobileoffice,ru.business.online,rshb.broker.mapp,ru.autoassistent.checker,ru.yoo.sdk.kassa.payments.example.release,ru.bank_hlynov.xbank,com.kickex.android,ru.ogon.app,ru.netfinbank.application,ru.sberbank.onlineencashment,ru.plusvklad.app,ru.microloans.online,online.proga.hospitalcalc,com.uspeivziatdeneg.vdolg,com.bifit.mobile.corporate.dvbank,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.vsk.insurance,ru.rosagroleasing.mobile,ru.carmoney.client,com.breackneck.mysecondprojectmoneybox,ru.genisoft.android.kozirnaya.karta,ru.rshb.ips_qr,ru.zencar.mobile.app,ru.elt.ubsmobile,com.ntk_plus.portalzhkh,ru.rshb.svoe_rodnoe,ru.rshb.privatebusiness,ru.sngb.dbo.client.android,com.bifit.mobile.ubrr,ru.ubrr.corporate,com.oilmarket,com.invoiceboxapp,com.bifit.mobile.citizen.chbrr,ru.kslabs.agorta_kassa,com.breckneck.debtbook,ru.rkeeper.reports,ru.ucs.rk_lite_pos,ru.agorta.atolWebServer,ru.ucs.rkmobwaiter5,ru.gazprombank.invest,ru.rosneft.tektorg
android.permission.READ_EXTERNAL_STORAGE	96	True	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.alfabank.mobile.android,ru.vtb.invest,ru.sberbank.spasibo,logo.com.mbanking,ru.yoo.money,com.openbank,com.idamob.tinkoff.android,ru.alfadirect.app,ru.sovcomcard.halva.v1,ru.vtb.smb,ru.letobank.Prometheus,ru.sberbank_sbbol,ru.cardsmobile.mw3,ru.gazprombank.android.mobilebank.app,ru.sberbank.sberkids,ru.mts.money,com.cetelem.cetelem_android,ru.openbroker.app,ru.psbank.msb.dev.psb_appstore,com.easypay_fssp,ru.sberins.insureapp.android,com.openbank.msb,ru.tinkoff.investing,ru.alfabank.oavdo.amc,com.simplepayments.gkh,ru.zhuck.webapp,com.sberbank.sberpravo,com.smp.android,ru.abrr.gas,com.simplepayments_fns,ru.sberbank.sberbankir2020,cb.ibank,com.bifit.rncbbeta,ru.platius.mobile,ru.tinkoff.sme,ru.psbank.invest,ru.rshb.dbo,ru.cbalkp.rel2,org.ray.fines,ru.mkb.mobile,ru.tinkoff.mb.kids,ru.finam.android,com.simplepayments_gibdd,ru.alfacapital.lk,ru.rtlabs.mobile.ebs.android,com.simplepayments.gosoplata,ru.tcsbank.tinkoffplatinum,ru.minbank.android,ru.deposit.cards,ru.stmlabs.procheck.app,com.otkritie.daily,ru.sovcombank.investor,ru.kredit.calculator,ru.calculator.vkladov,com.serviceit.tgc1lk,ru.tinkoff.accounting,com.bifit.dvbank,com.bpc.crossplatform_trading.bpc_trading,ru.sberleasing,org.policefines.finesNotCommercial,ru.yoo.kassa,ru.rt.mobileoffice,ru.business.online,ru.autoassistent.checker,ru.yoo.sdk.kassa.payments.example.release,ru.bank_hlynov.xbank,com.kickex.android,ru.ogon.app,ru.sberbank.onlineencashment,ru.microloans.online,com.bifit.mobile.corporate.dvbank,com.bssys.mbcphone.ubrir,ru.mkbb.mobile,ru.vsk.insurance,ru.rosagroleasing.mobile,ru.carmoney.client,ru.rshb.urozhai,ru.genisoft.android.kozirnaya.karta,ru.rshb.ips_qr,ru.zencar.mobile.app,ru.elt.ubsmobile,com.ntk_plus.portalzhkh,ru.rshb.svoe_rodnoe,ru.rshb.privatebusiness,com.bifit.mobile.ubrr,ru.ubrr.corporate,com.oilmarket,com.invoiceboxapp,com.bifit.mobile.citizen.chbrr,ru.kslabs.agorta_kassa,ru.rkeeper.reports,ru.ucs.rk_lite_pos,ru.gazprombank.invest,ru.rosneft.tektorg
android.permission.GET_TASKS	10	False	ru.sberbankmobile,ru.vtb24.mobilebanking.android,ru.alfadirect.app,ru.mts.money,ru.openbroker.app,com.openbank.msb,ru.alfabank.oavdo.amc,ru.mkb.mobile,org.policefines.finesNotCommercial,ru.mkbb.mobile
