package	title	creator	description	version	trackers_num	trackers	perm_num_total	perm_num_dang	perm_normal	perm_dang
ru.ria.ria	РИА Новости	МИА «Россия сегодня»	Новостное приложение РИА Новости	1.0.29	9	Flurry,Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,OneSignal,myTarget,Huawei Mobile Services (HMS) Core,VKontakte SDK	17	3	com.google.android.c2dm.permission.RECEIVE,me.everything.badger.permission.BADGE_COUNT_READ,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.WAKE_LOCK,ru.ria.ria.permission.C2D_MESSAGE,android.permission.VIBRATE,android.permission.READ_APP_BADGE,android.permission.INTERNET,com.google.android.gms.permission.AD_ID	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.ntv.today	Сегодня	"АО ""Телекомпания НТВ"""	Новости и не только	2.1.2	9	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Yandex Ad,AppMetrica,Google AdMob,VKontakte SDK	8	0	com.google.android.gms.permission.AD_ID,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.FOREGROUND_SERVICE	
ru.mail.mailnews	Новости Mail.ru	VK	Первыми рассказываем о важном.	4.2.1	4	Google CrashLytics,Google Firebase Analytics,myTracker,myTarget	11	4	com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE
ru.rbc.news.starter	РБК Новости	АО РБК	Последние новости дня в России и мире	4.6.8	4	Google CrashLytics,Google Firebase Analytics,AppMetrica,Google AdMob	17	3	android.permission.FOREGROUND_SERVICE,android.permission.USE_CREDENTIALS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.WAKE_LOCK,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.ACCESS_NETWORK_STATE,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED	android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,android.permission.WRITE_EXTERNAL_STORAGE
ru.rambler.lenta	Lenta.ru	Лента.ру	Все новости дня	1.1.19	0		0	0		
ru.ria.radiosputnik	Радио Sputnik	МИА «Россия сегодня»	Чем сегодня живет Россия и весь мир?	1.0.4	7	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,OneSignal,myTarget,Huawei Mobile Services (HMS) Core	17	3	com.google.android.gms.permission.AD_ID,android.permission.READ_APP_BADGE,android.permission.WAKE_LOCK,android.permission.VIBRATE,android.permission.RECEIVE_BOOT_COMPLETED,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.ACCESS_NETWORK_STATE,me.everything.badger.permission.BADGE_COUNT_READ,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,me.everything.badger.permission.BADGE_COUNT_WRITE,ru.ria.radiosputnik.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.FOREGROUND_SERVICE,android.permission.INTERNET	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE
ru.rian.inosmi	ИноСМИ	МИА «Россия сегодня»	ИноСМИ. Всё, что достойно перевода.	3.1.0	12	Flurry,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Yandex Ad,AppMetrica,OneSignal,myTarget,Huawei Mobile Services (HMS) Core,VKontakte SDK	17	3	com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,me.everything.badger.permission.BADGE_COUNT_WRITE,com.google.android.gms.permission.AD_ID,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,ru.rian.inosmi.permission.C2D_MESSAGE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,android.permission.READ_APP_BADGE,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE
com.tjuraniaapp	Тинькофф Журнал	АО «Тинькофф Банк»	Самый большой в России журнал про деньги	2.1.14	3	AppsFlyer,Google Firebase Analytics,Amplitude	11	1	android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,android.permission.USE_BIOMETRIC,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.WRITE_EXTERNAL_STORAGE
ru.ideast.gazeta	Газета.Ru	Газета.ру	Новости, факты и аналитика	3.2.1	3	Pushwoosh,Google Firebase Analytics,AppMetrica	30	1	ru.ideast.gazeta.permission.RECEIVE_ADM_MESSAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.INTERNET,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.SYSTEM_ALERT_WINDOW,me.everything.badger.permission.BADGE_COUNT_READ,com.oppo.launcher.permission.READ_SETTINGS,android.permission.WAKE_LOCK,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,android.permission.READ_APP_BADGE,com.android.vending.BILLING,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.sec.android.provider.badge.permission.READ,com.huawei.android.launcher.permission.CHANGE_BADGE,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.RECEIVE_BOOT_COMPLETED,com.htc.launcher.permission.READ_SETTINGS,com.majeur.launcher.permission.UPDATE_BADGE,com.huawei.android.launcher.permission.READ_SETTINGS,com.htc.launcher.permission.UPDATE_SHORTCUT,com.amazon.device.messaging.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.google.android.c2dm.permission.RECEIVE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.sec.android.provider.badge.permission.WRITE	android.permission.WRITE_EXTERNAL_STORAGE
com.rg_mobile.prod	Российская газета	ФГБУ «Редакция «Российской газеты»	Новости, документы, интервью	1.0	2	Google Firebase Analytics,Facebook Flipper	6	0	android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.WERITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	
