package	num	num_dang	perm_normal	perm_dang
ru.rostel	29	7	ru.rostel.permission.PROCESS_PUSH_MSG,android.permission.FOREGROUND_SERVICE,android.permission.VIBRATE,android.permission.USE_FINGERPRINT,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,android.permission.USE_BIOMETRIC,android.permission.BLUETOOTH_ADMIN,com.google.android.c2dm.permission.RECEIVE,com.google.android.gms.permission.AD_ID,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.NFC,android.permission.INTERNET,ru.rostel.permission.PUSH_PROVIDER,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,com.fingerprints.service.ACCESS_FINGERPRINT_MANAGER,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.BLUETOOTH	android.permission.CALL_PHONE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.CAMERA
ru.gosuslugi.auto	22	5	com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.USE_BIOMETRIC,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.fingerprints.service.ACCESS_FINGERPRINT_MANAGER,android.permission.NFC,android.permission.USE_FINGERPRINT,android.permission.CHANGE_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.BLUETOOTH_ADMIN,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.BLUETOOTH,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CALL_PHONE,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE
ru.gosuslugi.pos	37	6	android.permission.CHANGE_WIFI_STATE,com.sonyericsson.home.permission.BROADCAST_BADGE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.WAKE_LOCK,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.READ_APP_BADGE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_MEDIA_LOCATION,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.VIBRATE,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_WIFI_STATE,com.sec.android.provider.badge.permission.READ,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.BLUETOOTH_ADMIN,android.permission.USE_BIOMETRIC,com.htc.launcher.permission.READ_SETTINGS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.USE_FINGERPRINT,com.htc.launcher.permission.UPDATE_SHORTCUT,com.anddoes.launcher.permission.UPDATE_COUNT,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,com.sec.android.provider.badge.permission.WRITE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.INTERNET,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.BLUETOOTH,com.google.android.c2dm.permission.RECEIVE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
ru.gosuslugi.goskey	28	5	com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.RECEIVE_BOOT_COMPLETED,com.anddoes.launcher.permission.UPDATE_COUNT,ru.gosuslugi.goskey.permission.PROCESS_PUSH_MSG,com.google.android.c2dm.permission.RECEIVE,android.permission.REQUEST_INSTALL_PACKAGES,com.sonyericsson.home.permission.BROADCAST_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,android.permission.FOREGROUND_SERVICE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.sec.android.provider.badge.permission.READ,com.sec.android.provider.badge.permission.WRITE,android.permission.WAKE_LOCK,android.permission.INTERNET,com.htc.launcher.permission.READ_SETTINGS,com.oppo.launcher.permission.READ_SETTINGS,android.permission.ACCESS_NETWORK_STATE,ru.gosuslugi.goskey.permission.PUSH_PROVIDER,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.NFC	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
ru.mosreg.ekjp	22	6	android.permission.CHANGE_WIFI_STATE,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.QUICKBOOT_POWERON,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.READ_LOGS,android.permission.VIBRATE,android.permision.MANAGE_EXTERNAL_STORAGE,android.permission.BLUETOOTH_ADMIN,com.google.android.gms.permission.ACTIVITY_RECOGNITION,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE	android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
ru.mos.app	20	7	android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.FOREGROUND_SERVICE,android.permission.USE_BIOMETRIC,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,android.permission.ACCESS_WIFI_STATE,ndroid.permission.MANAGE_FINGERPRINT,android.permission.CHANGE_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_FINGERPRINT	android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_CALENDAR,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.alrosa.dp	12	3	android.permission.USE_FINGERPRINT,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.USE_BIOMETRIC,android.permission.READ_INTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE	android.permission.CALL_PHONE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE
ru.gosuslugi.culture	24	5	android.permission.INTERNET,android.permission.WAKE_LOCK,ru.gosuslugi.culture.permission.PROCESS_PUSH_MSG,android.permission.USE_BIOMETRIC,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.BLUETOOTH,android.permission.ACCESS_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,android.permission.CHANGE_WIFI_STATE,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,com.google.android.gms.permission.AD_ID,android.permission.USE_FULL_SCREEN_INTENT,android.permission.BLUETOOTH_ADMIN,android.permission.VIBRATE,ru.gosuslugi.culture.permission.PUSH_PROVIDER,android.permission.SCHEDULE_EXACT_ALARM	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO
ru.mosreg.uslugi.mobile.beta	19	6	android.permission.USE_BIOMETRIC,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_WIFI_STATE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.USE_FINGERPRINT,android.permission.CHANGE_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET	android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE
ru.altarix.mos.pgu	18	9	android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.USE_FINGERPRINT,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_BIOMETRIC	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CONTACTS,android.permission.CALL_PHONE,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_CALENDAR,android.permission.READ_CALENDAR,android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION
