id	num	is_danger	apps
ru.rostel.permission.PROCESS_PUSH_MSG	1	False	ru.rostel
android.permission.FOREGROUND_SERVICE	20	False	ru.rostel,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.tstst.mysubsidie,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.minsvyaz.gosuslugi.stopcorona,ru.gibdd_pay.app,ru.orb.ag2,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,com.lsbr.call03,ru.rosagroleasing.mobile,com.firstforma.dialog,com.example.statsport
android.permission.VIBRATE	24	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.mosreg.ekjp,ru.mos.app,ru.gosuslugi.culture,ru.altarix.mos.pgu,com.fssp.app,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.minsvyaz.gosuslugi.stopcorona,ru.altarix.mos.reception,com.uip.gosuslugi2,com.gibdd.app,com.uip.crowdcontrol,ru.orb.ag2,ru.tyumen.telemed,com.asoft.mfcmobile,info.esoft.ko,ru.iserv.nk,com.lsbr.call03,ru.rosagroleasing.mobile,com.firstforma.dialog,com.application.ttssm
android.permission.USE_FINGERPRINT	15	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.tstst.mysubsidie,com.minsvyaz.gosuslugi.stopcorona,com.uip.gosuslugi2,com.sc.mfcnso,ru.tyumen.telemed,com.gkh72,com.firstforma.dialog
android.permission.WAKE_LOCK	42	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.mos.polls,com.fssp.app,ru.tstst.mysubsidie,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.minsvyaz.gosuslugi.stopcorona,ru.gibdd_pay.app,ru.altarix.mos.reception,ru.integrics.mobiled,com.uip.gosuslugi2,com.uip.inspector,com.gibdd.app,com.uip.crowdcontrol,com.sc.mfcnso,ru.mosreg.easuz.portal,com.venul.region72,ru.orb.ag2,ru.orb.mfc.mobile,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,ru.nso.agro,info.esoft.ko,ru.iserv.nk,com.lsbr.call03,ru.rosagroleasing.mobile,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.smarttransport.monitoring_ums,com.example.statsport,com.simplight.webclient,com.application.ttssm
android.permission.ACCESS_WIFI_STATE	23	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.mosreg.ekjp,ru.mos.app,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.sc.mfcnso,ru.mosreg.easuz.portal,ru.orb.ag2,ru.orb.mfc.mobile,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,info.esoft.ko,ru.iserv.nk,ru.rosagroleasing.mobile,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.smarttransport.monitoring_ums
android.permission.USE_BIOMETRIC	13	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.tstst.mysubsidie,com.minsvyaz.gosuslugi.stopcorona,com.sc.mfcnso,ru.tyumen.telemed,com.gkh72
android.permission.CALL_PHONE	6	True	ru.rostel,ru.gosuslugi.auto,ru.alrosa.dp,ru.altarix.mos.pgu,com.lsbr.call03,com.firstforma.dialog
android.permission.READ_EXTERNAL_STORAGE	34	True	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.mos.polls,ru.tstst.mysubsidie,ru.mos.ed,ru.altarix.mos.reception,ru.integrics.mobiled,com.uip.gosuslugi2,com.sc.mfcnso,ru.mosreg.easuz.portal,com.venul.region72,ru.orb.ag2,ru.orb.mfc.mobile,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,ru.nso.agro,info.esoft.ko,ru.iserv.nk,ru.rosagroleasing.mobile,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.docsystems.peopleinspector,ru.katharsis.office,ru.smarttransport.monitoring_ums,com.example.statsport
android.permission.BLUETOOTH_ADMIN	12	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.mosreg.ekjp,ru.gosuslugi.culture,com.venul.region72,ru.tyumen.telemed,com.asoft.mfcmobile,info.esoft.ko,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.smarttransport.monitoring_ums
