id	name	num
27	Google CrashLytics	25
49	Google Firebase Analytics	34
140	AppMetrica	17
333	Huawei Mobile Services (HMS) Core	6
66	Facebook Analytics	2
67	Facebook Login	2
70	Facebook Share	2
382	VKontakte SDK	2
124	Yandex Ad	1
175	myTracker	2
48	Google Analytics	3
105	Google Tag Manager	2
52	Adjust	2
125	Amplitude	4
25	Flurry	1
240	Google Analytics Plugin (Cordova)	1
171	Mapbox	1
238	Microsoft Visual Studio App Center Crashes	2
243	Microsoft Visual Studio App Center Analytics	2
69	Facebook Places	1
392	Facebook Flipper	1
118	MixPanel	1
