package	num	num_dang	perm_normal	perm_dang
ru.yandex.yandexnavi	48	11	android.permission.REORDER_TASKS,com.google.android.c2dm.permission.RECEIVE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.sec.android.launcher.permission.BIND_WIDGET,android.permission.WAKE_LOCK,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERACT_ACROSS_USERS_FULL,android.permission.BLUETOOTH,androidx.car.app.NAVIGATION_TEMPLATES,android.permission.AUTHENTICATE_ACCOUNTS,com.google.android.gms.permission.CAR_VENDOR_EXTENSION,yandex.auto.permission.INTERACT_WITH_UPDATER,android.permission.USE_CREDENTIALS,android.permission.ACTIVITY_RECOGNITION,com.google.android.gms.permission.AD_ID,com.yandex.permission.AM_COMMUNICATION,yandex.auto.permission.ACCESS_FM_RADIO,com.google.android.gms.permission.ACTIVITY_RECOGNITION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.MANAGE_ACCOUNTS,android.permission.CHANGE_WIFI_STATE,com.android.alarm.permission.SET_ALARM,com.android.vending.BILLING,com.yandex.permission.READ_CREDENTIALS,yandex.auto.alice.PROVIDE_DEVICE_STATE,androidx.car.app.ACCESS_SURFACE,yandex.auto.hmi.permission.TOGGLE_NOTIFICATIONS,android.permission.WRITE_SETTINGS,com.android.launcher.permission.INSTALL_SHORTCUT,ru.yandex.yandexmaps.permission.READ_TRANSFER,yandex.auto.hmi.permission.TOGGLE_HMI,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_BACKGROUND_LOCATION	android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CALL_PHONE,android.permission.ACCESS_FINE_LOCATION,android.permission.GET_ACCOUNTS,android.permission.READ_CALENDAR,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECORD_AUDIO,android.permission.ACCESS_COARSE_LOCATION,android.permission.CAMERA
ru.dublgis.dgismobile	26	6	android.permission.READ_SYNC_SETTINGS,android.permission.QUERY_ALL_PACKAGES,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.c2dm.permission.RECEIVE,ru.dublgis.dgismobile.permission.PUSH_PROVIDER,android.permission.CHANGE_WIFI_STATE,androidx.car.app.NAVIGATION_TEMPLATES,androidx.car.app.ACCESS_SURFACE,android.permission.ACCESS_NETWORK_STATE,ru.dublgis.dgismobile.permission.PROCESS_PUSH_MSG,android.permission.WAKE_LOCK,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.FOREGROUND_SERVICE,android.permission.VIBRATE,ru.dublgis.dgismobile.permission.C2D_MESSAGE,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,com.google.android.gms.permission.AD_ID	android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.RECORD_AUDIO,android.permission.READ_CONTACTS,android.permission.WRITE_EXTERNAL_STORAGE
ru.yandex.yandexmaps	42	10	android.permission.ACCESS_NETWORK_STATE,android.permission.BLUETOOTH,com.android.vending.BILLING,ru.yandex.yandexmaps.permission.READ_TRANSFER,android.permission.FOREGROUND_SERVICE,com.yandex.permission.READ_CREDENTIALS,com.google.android.c2dm.permission.RECEIVE,android.permission.MANAGE_ACCOUNTS,androidx.car.app.ACCESS_SURFACE,android.permission.ACCESS_WIFI_STATE,android.permission.USE_CREDENTIALS,android.permission.ACTIVITY_RECOGNITION,androidx.car.app.NAVIGATION_TEMPLATES,com.google.android.gms.permission.CAR_VENDOR_EXTENSION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.CHANGE_WIFI_STATE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.AUTHENTICATE_ACCOUNTS,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.WRITE_SETTINGS,com.yandex.permission.AM_COMMUNICATION,android.permission.VIBRATE,android.permission.BLUETOOTH_ADMIN,com.google.android.gms.permission.ACTIVITY_RECOGNITION,ru.yandex.yandexmaps.permission.PROCESS_PUSH_MSG,ru.yandex.yandexmaps.permission.PUSH_PROVIDER,android.permission.REORDER_TASKS	android.permission.READ_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO,android.permission.GET_ACCOUNTS,android.permission.READ_PHONE_STATE,android.permission.WRITE_CALENDAR,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CALENDAR,android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION
ru.rzd.pass	35	8	com.sec.android.provider.badge.permission.WRITE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.android.launcher.permission.READ_SETTINGS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,com.android.alarm.permission.SET_ALARM,com.huawei.android.launcher.permission.CHANGE_BADGE,me.everything.badger.permission.BADGE_COUNT_READ,com.google.android.c2dm.permission.RECEIVE,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.FOREGROUND_SERVICE,android.permission.CHANGE_WIFI_STATE,com.oppo.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.USE_FINGERPRINT,android.permission.READ_APP_BADGE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.sec.android.provider.badge.permission.READ,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.WAKE_LOCK,com.htc.launcher.permission.READ_SETTINGS	android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.READ_CALENDAR,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE
com.ivolk.StrelkaGPS	24	5	android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.WAKE_LOCK,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.BLUETOOTH,android.permission.BROADCAST_STICKY,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.QUICKBOOT_POWERON,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.SYSTEM_ALERT_WINDOW,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.INTERNET,com.android.vending.CHECK_LICENSE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH_CONNECT	android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE
ru.yandex.metro	14	3	android.permission.CHANGE_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.VIBRATE,android.permission.NFC,android.permission.WAKE_LOCK,com.android.alarm.permission.SET_ALARM,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION
ru.aeroflot	23	7	android.permission.FOREGROUND_SERVICE,android.permission.WAKE_LOCK,android.permission.ACCESS_NETWORK_STATE,android.permission.NFC,android.permission.BLUETOOTH_ADMIN,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.USE_FINGERPRINT,android.permission.USE_BIOMETRIC,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.FLASHLIGHT,ru.aeroflot.permission.pushserver.RECEIVE,android.permission.CHANGE_WIFI_STATE,android.permission.BLUETOOTH	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.WRITE_EXTERNAL_STORAGE
ru.mosmetro.metro	33	7	ru.mosmetro.metro.permission.PROCESS_PUSH_MSG,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,android.permission.VIBRATE,android.permission.USE_BIOMETRIC,ru.mosmetro.metro.permission.pushserver.RECEIVE,android.permission.CHANGE_WIFI_STATE,android.permission.INTERNET,android.permission.BIND_AUTOFILL_SERVICE,android.permission.SYSTEM_ALERT_WINDOW,com.samsung.wmanager.ENABLE_NOTIFICATION,android.permission.NFC,android.permission.ACCESS_WIFI_STATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,ru.mosmetro.metro.permission.PUSH_PROVIDER,android.permission.FOREGROUND_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.ACCESS_MEDIA_LOCATION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.BLUETOOTH_ADMIN,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.WAKE_LOCK,android.permission.BLUETOOTH	android.permision.CALL_PHONE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.mosparking.appnew	28	7	android.permission.USE_BIOMETRIC,ru.mosparking.appnew.permission.PROCESS_PUSH_MSG,com.google.android.c2dm.permission.RECEIVE,ru.mosparking.appnew.permission.PUSH_PROVIDER,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.NFC,android.permission.WAKE_LOCK,android.permission.BLUETOOTH,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.ACCESS_NETWORK_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH_ADMIN,android.permission.USE_FINGERPRINT,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,android.permission.GET_TASKS,android.permission.ACCESS_BACKGROUND_LOCATION	android.permission.READ_EXTERNAL_STORAGE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION
com.sberauto.mobile	44	5	android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,com.sonyericsson.home.permission.BROADCAST_BADGE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,com.sberauto.mobile.permission.C2D_MESSAGE,com.sec.android.provider.badge.permission.READ,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.sec.android.provider.badge.permission.WRITE,android.permission.READ_APP_BADGE,com.hihonor.permission.MANAGE_FOLD_SCREEN,android.permission.VIBRATE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.huawei.permission.sec.ACCESS_UDID,com.sec.android.provider.badge.BadgeProvider,android.permission.REQUEST_INSTALL_PACKAGES,com.huawei.permission.sec.MDM.v2,com.android.vending.CHECK_LICENSE,android.permission.BLUETOOTH,com.hihonor.permission.MANAGE_FOLD_SCREEN_PRIVILEGED,com.google.android.c2dm.permission.RECEIVE,com.sberauto.mobile.permission.PUSH_PROVIDER,android.permission.ACCESS_NETWORK_STATE,com.google.android.gms.permission.AD_ID,com.oppo.launcher.permission.WRITE_SETTINGS,me.everything.badger.permission.BADGE_COUNT_READ,me.everything.badger.permission.BADGE_COUNT_WRITE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.USE_BIOMETRIC,com.sberauto.mobile.permission.PROCESS_PUSH_MSG,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.QUERY_ALL_PACKAGES,com.htc.launcher.permission.READ_SETTINGS,android.permission.INTERNET,android.permission.USE_FINGERPRINT,com.htc.launcher.permission.UPDATE_SHORTCUT,android.permission.BROADCAST_STICKY,com.oppo.launcher.permission.READ_SETTINGS	android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION
