id	num	is_danger	apps
android.permission.REORDER_TASKS	3	False	ru.yandex.yandexnavi,ru.yandex.yandexmaps,ru.taxovichkof.pult
com.google.android.c2dm.permission.RECEIVE	58	False	ru.yandex.yandexnavi,ru.dublgis.dgismobile,ru.yandex.yandexmaps,ru.rzd.pass,ru.yandex.metro,ru.aeroflot,ru.mosmetro.metro,ru.mosparking.appnew,com.sberauto.mobile,ru.farpost.dromfilter,ru.yandex.taxi,com.mybedy.antiradar.rustore,ru.bloodsoft.gibddchecker,org.reactivephone,org.ray.auto,ru.belkacar.belkacar,com.taxsee.taxsee,ru.gibdd_pay.app,ru.invoicebox.troika.individual,ru.vin.proverka.auto,ru.tutu.tutu_emp,infobot.gibdd.vin.auto,youdrive.today,ru.aviabilety.deshevo,com.poputti.app,ru.mosgorpass,com.gibdd.app,aero.svo.app,io.ionic.autoinfo,org.policefines.finesNotCommercial,ru.invoicebox.troika,ru.antinteractive.antlivemobile,com.tisonline.ttwcome_driver,ru.sdt.courier,ru.gazprombank.gorodpay,su.ati.client.android,ru.android.cars7,com.smartway,ru.taxovichkof.android,ru.teligent.gazApp,com.sitronics.app,io.teamb.moyka,ru.taximaster.tmtaxicaller.id7705,com.gootax.zam211,com.smarttransport.its.ordervehicle,ru.bstd.tmr_trade_in_check_app,su.ati.driver,com.tisonline.tis_driver,com.wfsys.carrent,ru.zencar.mobile.app,ru.rncard.virtualcard,ru.avtobandigital.app,com.transportspb.app,ru.smarttransport.monitoring_ums,lime.taxi.key.id169,com.wfsys.carfleet,ru.gruzovichkof.android,ru.taxovichkof.pult
android.permission.MODIFY_AUDIO_SETTINGS	11	False	ru.yandex.yandexnavi,com.ivolk.StrelkaGPS,ru.aeroflot,com.ivolk.estrelka,ru.farpost.dromfilter,com.mybedy.antiradar.rustore,com.taxsee.taxsee,youdrive.today,com.poputti.app,aero.svo.app,ru.gazprombank.gorodpay
android.permission.WRITE_CALENDAR	5	True	ru.yandex.yandexnavi,ru.yandex.yandexmaps,ru.rzd.pass,ru.aviabilety.deshevo,ru.grandtrain.app
android.permission.INTERNET	80	False	ru.yandex.yandexnavi,ru.dublgis.dgismobile,ru.yandex.yandexmaps,ru.rzd.pass,com.ivolk.StrelkaGPS,ru.yandex.metro,ru.aeroflot,ru.mosmetro.metro,ru.mosparking.appnew,com.sberauto.mobile,com.ivolk.estrelka,ru.farpost.dromfilter,ru.yandex.taxi,com.mybedy.antiradar.rustore,ru.bloodsoft.gibddchecker,org.reactivephone,ru.reactivephone.Visitors,org.ray.auto,ru.belkacar.belkacar,com.taxsee.taxsee,ru.gibdd_pay.app,ru.invoicebox.troika.individual,ru.vin.proverka.auto,ru.tutu.tutu_emp,com.blackspoongames.gims,infobot.gibdd.vin.auto,youdrive.today,poezd.na.bilet,ru.aviabilety.deshevo,com.poputti.app,ru.mosgorpass,ru.boxberry.couriers,com.gibdd.app,ru.russpass.tourist,com.vladdrummer.autorus,ru.linevo.pddabm,aero.svo.app,ru.kih.transport.sochi,io.ionic.autoinfo,com.do_apps.catalog_309,ru.elzforesttech.gisapp,org.policefines.finesNotCommercial,ru.softinvent.bikecomp,ru.grandtrain.app,ru.invoicebox.troika,com.blackspoongames.dopog,ru.antinteractive.antlivemobile,com.tisonline.ttwcome_driver,ru.sber.csradar,ru.sdt.courier,ru.gazprombank.gorodpay,su.ati.client.android,ru.android.cars7,com.smartway,ru.taxovichkof.android,ru.teligent.gazApp,com.sitronics.app,io.teamb.moyka,ru.taximaster.tmtaxicaller.id7705,com.gootax.zam211,ru.amfly.app,com.tisonline.tis_taxi,com.smarttransport.its.ordervehicle,ru.bstd.tmr_trade_in_check_app,com.tisonline.tis_driver_rl,su.ati.driver,com.wYAndeksTaksiregistratsiya_8953685,com.tisonline.tis_driver_request,com.tisonline.tis_driver,com.wfsys.carrent,ru.zencar.mobile.app,ru.rncard.virtualcard,ru.avtobandigital.app,com.transportspb.app,com.tisonline.tis_user,ru.smarttransport.monitoring_ums,lime.taxi.key.id169,com.wfsys.carfleet,ru.gruzovichkof.android,ru.taxovichkof.pult
android.permission.WRITE_EXTERNAL_STORAGE	55	True	ru.yandex.yandexnavi,ru.dublgis.dgismobile,ru.yandex.yandexmaps,ru.rzd.pass,com.ivolk.StrelkaGPS,ru.yandex.metro,ru.aeroflot,ru.mosmetro.metro,ru.mosparking.appnew,com.sberauto.mobile,ru.farpost.dromfilter,ru.yandex.taxi,org.reactivephone,org.ray.auto,ru.belkacar.belkacar,ru.tutu.tutu_emp,com.blackspoongames.gims,youdrive.today,com.poputti.app,ru.mosgorpass,ru.russpass.tourist,com.vladdrummer.autorus,aero.svo.app,io.ionic.autoinfo,ru.elzforesttech.gisapp,org.policefines.finesNotCommercial,ru.grandtrain.app,com.blackspoongames.dopog,ru.antinteractive.antlivemobile,com.tisonline.ttwcome_driver,ru.sdt.courier,ru.gazprombank.gorodpay,su.ati.client.android,ru.allsee.autocoach,ru.android.cars7,com.smartway,ru.taxovichkof.android,com.sitronics.app,io.teamb.moyka,ru.taximaster.tmtaxicaller.id7705,com.gootax.zam211,com.tisonline.tis_taxi,com.smarttransport.its.ordervehicle,com.tisonline.tis_driver_rl,su.ati.driver,com.tisonline.tis_driver_request,com.tisonline.tis_driver,com.wfsys.carrent,ru.zencar.mobile.app,ru.rncard.virtualcard,ru.avtobandigital.app,ru.smarttransport.monitoring_ums,com.wfsys.carfleet,ru.gruzovichkof.android,ru.taxovichkof.pult
android.permission.FOREGROUND_SERVICE	47	False	ru.yandex.yandexnavi,ru.dublgis.dgismobile,ru.yandex.yandexmaps,ru.rzd.pass,com.ivolk.StrelkaGPS,ru.aeroflot,ru.mosmetro.metro,ru.mosparking.appnew,com.ivolk.estrelka,ru.farpost.dromfilter,ru.yandex.taxi,com.mybedy.antiradar.rustore,ru.bloodsoft.gibddchecker,org.reactivephone,org.ray.auto,ru.belkacar.belkacar,com.taxsee.taxsee,ru.gibdd_pay.app,ru.invoicebox.troika.individual,ru.tutu.tutu_emp,youdrive.today,ru.aviabilety.deshevo,ru.mosgorpass,ru.boxberry.couriers,com.do_apps.catalog_309,ru.elzforesttech.gisapp,org.policefines.finesNotCommercial,ru.softinvent.bikecomp,ru.invoicebox.troika,ru.antinteractive.antlivemobile,com.tisonline.ttwcome_driver,ru.sdt.courier,ru.gazprombank.gorodpay,su.ati.client.android,ru.android.cars7,ru.taxovichkof.android,com.tisonline.tis_taxi,com.tisonline.tis_driver_rl,su.ati.driver,com.tisonline.tis_driver_request,com.tisonline.tis_driver,ru.zencar.mobile.app,ru.avtobandigital.app,com.tisonline.tis_user,lime.taxi.key.id169,ru.gruzovichkof.android,ru.taxovichkof.pult
com.sec.android.launcher.permission.BIND_WIDGET	1	False	ru.yandex.yandexnavi
android.permission.CALL_PHONE	9	True	ru.yandex.yandexnavi,ru.mosparking.appnew,ru.yandex.taxi,youdrive.today,ru.mosgorpass,ru.android.cars7,ru.teligent.gazApp,com.sitronics.app,ru.taxovichkof.pult
android.permission.ACCESS_FINE_LOCATION	59	True	ru.yandex.yandexnavi,ru.dublgis.dgismobile,ru.yandex.yandexmaps,ru.rzd.pass,com.ivolk.StrelkaGPS,ru.yandex.metro,ru.aeroflot,ru.mosmetro.metro,ru.mosparking.appnew,com.sberauto.mobile,com.ivolk.estrelka,ru.farpost.dromfilter,ru.yandex.taxi,com.mybedy.antiradar.rustore,ru.belkacar.belkacar,com.taxsee.taxsee,ru.invoicebox.troika.individual,ru.tutu.tutu_emp,youdrive.today,ru.aviabilety.deshevo,com.poputti.app,ru.mosgorpass,ru.boxberry.couriers,ru.russpass.tourist,com.vladdrummer.autorus,aero.svo.app,ru.kih.transport.sochi,io.ionic.autoinfo,ru.elzforesttech.gisapp,ru.softinvent.bikecomp,ru.invoicebox.troika,ru.antinteractive.antlivemobile,com.tisonline.ttwcome_driver,ru.sber.csradar,ru.sdt.courier,ru.gazprombank.gorodpay,su.ati.client.android,ru.android.cars7,ru.taxovichkof.android,ru.teligent.gazApp,com.sitronics.app,io.teamb.moyka,ru.taximaster.tmtaxicaller.id7705,com.gootax.zam211,com.tisonline.tis_taxi,com.smarttransport.its.ordervehicle,com.tisonline.tis_driver_rl,su.ati.driver,com.tisonline.tis_driver_request,com.tisonline.tis_driver,ru.zencar.mobile.app,ru.rncard.virtualcard,ru.avtobandigital.app,com.transportspb.app,com.tisonline.tis_user,ru.smarttransport.monitoring_ums,lime.taxi.key.id169,ru.gruzovichkof.android,ru.taxovichkof.pult
